;after_learning_of_task;tested_task;accuracy
0;0;0;96.63999938964844
1;1;0;96.54000091552734
2;1;1;96.63999938964844
3;2;0;96.5
4;2;1;96.62999725341797
5;2;2;97.22000122070312
6;3;0;96.58000183105469
7;3;1;96.62999725341797
8;3;2;97.15999603271484
9;3;3;96.73999786376953
10;4;0;96.56999969482422
11;4;1;96.66000366210938
12;4;2;97.13999938964844
13;4;3;96.83999633789062
14;4;4;96.87999725341797
15;5;0;96.55999755859375
16;5;1;96.66000366210938
17;5;2;96.95999908447266
18;5;3;96.7300033569336
19;5;4;96.86000061035156
20;5;5;96.83000183105469
21;6;0;96.5
22;6;1;96.6500015258789
23;6;2;97.0199966430664
24;6;3;96.7300033569336
25;6;4;96.79000091552734
26;6;5;96.77000427246094
27;6;6;96.87000274658203
28;7;0;96.51000213623047
29;7;1;96.55999755859375
30;7;2;96.86000061035156
31;7;3;96.63999938964844
32;7;4;96.61000061035156
33;7;5;96.80999755859375
34;7;6;96.98999786376953
35;7;7;96.95999908447266
36;8;0;96.62999725341797
37;8;1;96.5999984741211
38;8;2;96.94000244140625
39;8;3;96.45999908447266
40;8;4;96.63999938964844
41;8;5;96.75
42;8;6;97.04000091552734
43;8;7;96.91000366210938
44;8;8;96.76000213623047
45;9;0;96.7300033569336
46;9;1;96.63999938964844
47;9;2;96.01000213623047
48;9;3;96.5
49;9;4;96.56999969482422
50;9;5;96.83000183105469
51;9;6;96.94000244140625
52;9;7;96.76000213623047
53;9;8;96.73999786376953
54;9;9;96.55999755859375
