;after_learning_of_task;tested_task;accuracy
0;5;0;67.37999725341797
1;5;1;67.13999938964844
2;5;2;73.33999633789062
3;5;3;71.8499984741211
4;5;4;81.70999908447266
5;5;5;88.27999877929688
6;6;0;58.56999588012695
7;6;1;58.18000030517578
8;6;2;64.67000579833984
9;6;3;63.160003662109375
10;6;4;61.83000183105469
11;6;5;79.72000122070312
12;6;6;88.3499984741211
13;7;0;47.85000228881836
14;7;1;55.900001525878906
15;7;2;45.82999801635742
16;7;3;40.41999816894531
17;7;4;59.880001068115234
18;7;5;65.2300033569336
19;7;6;63.650001525878906
20;7;7;88.41000366210938
21;8;0;39.63999938964844
22;8;1;49.27000045776367
23;8;2;41.0
24;8;3;43.92000198364258
25;8;4;50.18000030517578
26;8;5;63.5
27;8;6;62.44999694824219
28;8;7;81.76000213623047
29;8;8;88.81000518798828
30;9;0;45.459999084472656
31;9;1;42.65999984741211
32;9;2;37.65999984741211
33;9;3;30.03999900817871
34;9;4;45.18000030517578
35;9;5;50.93000030517578
36;9;6;48.439998626708984
37;9;7;58.679996490478516
38;9;8;67.79000091552734
39;9;9;78.12000274658203
