;after_learning_of_task;tested_task;accuracy
0;0;0;85.72999572753906
1;1;0;68.7300033569336
2;1;1;87.4800033569336
3;2;0;61.94000244140625
4;2;1;79.77999877929688
5;2;2;83.05000305175781
6;3;0;70.05000305175781
7;3;1;81.3499984741211
8;3;2;83.38999938964844
9;3;3;89.17000579833984
10;4;0;71.13999938964844
11;4;1;74.19000244140625
12;4;2;78.33000183105469
13;4;3;69.95000457763672
14;4;4;87.55000305175781
15;5;0;67.37999725341797
16;5;1;67.13999938964844
17;5;2;73.33999633789062
18;5;3;71.8499984741211
19;5;4;81.70999908447266
20;5;5;88.27999877929688
21;6;0;58.56999588012695
22;6;1;58.18000030517578
23;6;2;64.67000579833984
24;6;3;63.160003662109375
25;6;4;61.83000183105469
26;6;5;79.72000122070312
27;6;6;88.3499984741211
28;7;0;47.85000228881836
29;7;1;55.900001525878906
30;7;2;45.82999801635742
31;7;3;40.41999816894531
32;7;4;59.880001068115234
33;7;5;65.2300033569336
34;7;6;63.650001525878906
35;7;7;88.41000366210938
36;8;0;39.63999938964844
37;8;1;49.27000045776367
38;8;2;41.0
39;8;3;43.92000198364258
40;8;4;50.18000030517578
41;8;5;63.5
42;8;6;62.44999694824219
43;8;7;81.76000213623047
44;8;8;88.81000518798828
45;9;0;45.459999084472656
46;9;1;42.65999984741211
47;9;2;37.65999984741211
48;9;3;30.03999900817871
49;9;4;45.18000030517578
50;9;5;50.93000030517578
51;9;6;48.439998626708984
52;9;7;58.679996490478516
53;9;8;67.79000091552734
54;9;9;78.12000274658203
